Address,Data Type,Modbus Address,Function Code,Nickname,Initial Value,Retentive,Address Comment
X001,BIT,0000h,"FC=02","OFF NO",0,No,""
X002,BIT,0001h,"FC=02","OFF NC",0,No,""
X003,BIT,0002h,"FC=02","ON NO",0,No,""
X004,BIT,0003h,"FC=02","ON NC",0,No,""
X005,BIT,0004h,"FC=02","ALARM NO",0,No,""
X006,BIT,0005h,"FC=02","ALARM NC",0,No,""
X007,BIT,0006h,"FC=02","PUMP POWER SENSE",0,No,""
X008,BIT,0007h,"FC=02","BUTTON",0,No,""
Y001,BIT,2000h,"FC=01,05,15","PUMP RELAY",0,No,""
Y002,BIT,2001h,"FC=01,05,15","ALARM CLEAR RELAY",0,No,""
Y003,BIT,2002h,"FC=01,05,15","SOFT FAULT LAMP",0,No,""
C1,BIT,4000h,"FC=01,05,15","OFF FLOAT",0,No,""
C2,BIT,4001h,"FC=01,05,15","ON FLOAT",0,No,""
C3,BIT,4002h,"FC=01,05,15","ALARM FLOAT",0,No,""
C4,BIT,4003h,"FC=01,05,15","OFF RAT FAIL",0,No,""
C5,BIT,4004h,"FC=01,05,15","ON RAT FAIL",0,No,""
C6,BIT,4005h,"FC=01,05,15","ALARM RAT FAIL",0,No,""
C7,BIT,4006h,"FC=01,05,15","PUMP REQUEST ON",0,No,""
C8,BIT,4007h,"FC=01,05,15","PUMP REQUEST",0,No,""
C9,BIT,4008h,"FC=01,05,15","ALARM LATCH",0,No,""
C10,BIT,4009h,"FC=01,05,15","ALARM TEST",0,No,""
C11,BIT,400Ah,"FC=01,05,15","ALARM PUMP REQUEST",0,No,""
C99,BIT,4062h,"FC=01,05,15","",0,No,""
T1,BIT,B000h,"FC=02","PUMP EXCESSIVE RUN",0,No,""
T4,BIT,B003h,"FC=02","PUMP REQUEST ALARM",0,No,""
T5,BIT,B004h,"FC=02","TIME SINCE POWER ON",0,No,""
T6,BIT,B005h,"FC=02","START ALARM RESET TIME",0,No,""
CT1,BIT,C000h,"FC=02","PUMP ON COUNT",0,Yes,""
DS1,INT,0000h,"FC=03,06,16","PUMP LAST RUN TIME",0,Yes,""
DS3,INT,0002h,"FC=03,06,16","PUMP LAST START YEAR",0,Yes,""
DS4,INT,0003h,"FC=03,06,16","PUMP LAST START YEAR 2",0,Yes,""
DS5,INT,0004h,"FC=03,06,16","PUMP LAST START MONTH",0,Yes,""
DS6,INT,0005h,"FC=03,06,16","PUMP LAST START DAY",0,Yes,""
DS7,INT,0006h,"FC=03,06,16","PUMP LAST START DAY WEEK",0,Yes,""
DS8,INT,0007h,"FC=03,06,16","PUMP LAST START HOUR",0,Yes,""
DS9,INT,0008h,"FC=03,06,16","PUMP LAST START MINUTE",0,Yes,""
DS10,INT,0009h,"FC=03,06,16","PUMP LAST START SECOND",0,Yes,""
DS11,INT,000Ah,"FC=03,06,16","ALARM LAST YEAR",0,Yes,""
DS12,INT,000Bh,"FC=03,06,16","ALARM LAST YEAR 2",0,Yes,""
DS13,INT,000Ch,"FC=03,06,16","ALARM LAST MONTH",0,Yes,""
DS14,INT,000Dh,"FC=03,06,16","ALARM LAST DAY",0,Yes,""
DS15,INT,000Eh,"FC=03,06,16","ALARM LAST DAY WEEK",0,Yes,""
DS16,INT,000Fh,"FC=03,06,16","ALARM LAST HOUR",0,Yes,""
DS17,INT,0010h,"FC=03,06,16","ALARM LAST MINUTE",0,Yes,""
DS18,INT,0011h,"FC=03,06,16","ALARM LAST SECOND",0,Yes,""
DS19,INT,0012h,"FC=03,06,16","RESET LAST YEAR",0,Yes,""
DS20,INT,0013h,"FC=03,06,16","RESET LAST YEAR 2",0,Yes,""
DS21,INT,0014h,"FC=03,06,16","RESET LAST MONTH",0,Yes,""
DS22,INT,0015h,"FC=03,06,16","RESET LAST DAY",0,Yes,""
DS23,INT,0016h,"FC=03,06,16","RESET LAST DAY WEEK",0,Yes,""
DS24,INT,0017h,"FC=03,06,16","RESET LAST HOUR",0,Yes,""
DS25,INT,0018h,"FC=03,06,16","RESET LAST MINUTE",0,Yes,""
DS26,INT,0019h,"FC=03,06,16","RESET LAST SECOND",0,Yes,""
DH1,HEX,6000h,"FC=03,06,16","ALARM LAST INPUT",0,Yes,""
DH2,HEX,6001h,"FC=03,06,16","ALARM LAST INTERNAL",0,Yes,""
TD1,INT,B000h,"FC=03,06,16","PUMP RUN TIMER",0,No,""
TD4,INT,B003h,"FC=03,06,16","PUMP ALARM TIMER",0,No,""
TD5,INT,B004h,"FC=03,06,16","START INHIBIT TIMER",0,No,""
TD6,INT,B005h,"FC=03,06,16","",0,No,""
CTD1,INT2,C000h,"FC=03,06,16","",0,Yes,""
SD19,INT,F012h,"(04)","_RTC_Year(4 digits)",0,No,""
SD20,INT,F013h,"(04)","_RTC_Year(2 digits)",0,No,""
SD21,INT,F014h,"(04)","_RTC_Month",0,No,""
SD22,INT,F015h,"(04)","_RTC_Day",0,No,""
SD23,INT,F016h,"(04)","_RTC_Day_of_The_Week",0,No,""
SD24,INT,F017h,"(04)","_RTC_Hour",0,No,""
SD25,INT,F018h,"(04)","_RTC_Minute",0,No,""
SD26,INT,F019h,"(04)","_RTC_Second",0,No,""
